Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate
32789,24635.0,41.3,63398.0,51443.0,10.444489547391923
32801,11237.0,37.4,47151.0,40726.0,18.43018599270268
32803,17680.0,39.4,53101.0,40884.0,11.029411764705882
32804,16826.0,40.4,58548.0,42558.0,11.357423035777963
32805,22001.0,36.2,23950.0,14649.0,35.25748829598655
32806,25598.0,38.9,51996.0,32396.0,14.520665677006017
32807,32604.0,33.6,35980.0,17077.0,23.782357992884307
32808,50146.0,31.3,33511.0,14303.0,27.441869740358154
32809,25126.0,35.8,31966.0,18829.0,25.933296187216428
32810,33503.0,33.9,42580.0,21716.0,20.765304599588095
32811,38301.0,29.8,34189.0,15654.0,25.22910628965301
32812,36753.0,35.6,45934.0,25011.0,15.759257747666856
32814,6061.0,33.1,96766.0,59903.0,3.745256558323709
32819,25461.0,39.1,66330.0,34133.0,12.124425592082007
32822,56111.0,32.4,32903.0,16493.0,25.38717898451284
32824,36515.0,34.6,48110.0,18449.0,13.818978501985486
32827,6576.0,36.7,85880.0,40104.0,4.805352798053528
32829,20542.0,31.3,67947.0,24976.0,11.298802453509882
32832,16194.0,31.7,75331.0,29534.0,4.322588613066568
32835,43477.0,32.7,49448.0,26833.0,12.029348851116682
32839,46052.0,31.0,32248.0,16532.0,23.356206027968383
